,rule,precision,recall
0,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=2.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_length', value=0.0)]",1.0,0.06451612903225806
1,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=3.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_length', value=1.0)]",1.0,0.06896551724137931
2,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=4.0), Rule(attribute='sepal_length', value=1.0), Rule(attribute='petal_width', value=1.0)]",1.0,0.18518518518518517
3,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_length', value=0.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_width', value=1.0)]",1.0,0.045454545454545456
4,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_length', value=0.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_width', value=4.0)]",1.0,0.047619047619047616
5,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_length', value=2.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_width', value=4.0)]",1.0,0.05
6,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=0.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_length', value=0.0)]",1.0,0.05263157894736842
7,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=3.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_length', value=0.0)]",1.0,0.1111111111111111
8,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='petal_width', value=0.0), Rule(attribute='sepal_length', value=0.0), Rule(attribute='sepal_width', value=4.0)]",1.0,0.0625
9,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='sepal_length', value=3.0), Rule(attribute='petal_width', value=4.0), Rule(attribute='sepal_width', value=4.0)]",1.0,0.05405405405405406
10,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='sepal_length', value=4.0), Rule(attribute='sepal_width', value=2.0), Rule(attribute='petal_width', value=4.0)]",1.0,0.11428571428571428
11,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='sepal_length', value=4.0), Rule(attribute='sepal_width', value=3.0), Rule(attribute='petal_width', value=4.0)]",1.0,0.16129032258064516
12,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='sepal_length', value=4.0), Rule(attribute='sepal_width', value=4.0), Rule(attribute='petal_width', value=4.0)]",1.0,0.07692307692307693
13,"[Rule(attribute='sepal_width', value=4.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='sepal_length', value=1.0), Rule(attribute='petal_length', value=1.0)]",1.0,0.6
14,"[Rule(attribute='petal_length', value=0.0), Rule(attribute='sepal_width', value=2.0), Rule(attribute='petal_width', value=0.0), Rule(attribute='sepal_length', value=0.0)]",1.0,0.16666666666666666
15,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='sepal_length', value=4.0), Rule(attribute='sepal_width', value=1.0), Rule(attribute='petal_width', value=4.0)]",1.0,0.08333333333333333
16,"[Rule(attribute='sepal_width', value=4.0), Rule(attribute='petal_width', value=1.0), Rule(attribute='petal_length', value=1.0), Rule(attribute='sepal_length', value=0.0)]",1.0,0.2
17,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='petal_width', value=3.0), Rule(attribute='sepal_width', value=1.0)]",1.0,0.09090909090909091
18,"[Rule(attribute='petal_length', value=4.0), Rule(attribute='petal_width', value=3.0), Rule(attribute='sepal_width', value=3.0)]",1.0,0.1
