,rule,precision,recall
0,"[Rule(attribute='CALC', value=0.0), Rule(attribute='Gender', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=1.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=1.0), Rule(attribute='NCP', value=0.0), Rule(attribute='CAEC', value=1.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='FAF', value=1.0), Rule(attribute='TUE', value=2.0), Rule(attribute='MTRANS', value=4.0), Rule(attribute='SCC', value=0.0)]",1.0,0.005154639175257732
1,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='Weight', value=2.0), Rule(attribute='Gender', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Height', value=1.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=0.0), Rule(attribute='NCP', value=2.0), Rule(attribute='SMOKE', value=1.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='SCC', value=1.0), Rule(attribute='TUE', value=0.0), Rule(attribute='CALC', value=1.0), Rule(attribute='MTRANS', value=0.0), Rule(attribute='FAF', value=0.0)]",1.0,0.004784688995215311
2,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='FCVC', value=0.0), Rule(attribute='Gender', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='NCP', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='SCC', value=0.0), Rule(attribute='FAF', value=1.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='TUE', value=1.0)]",1.0,0.0049504950495049506
3,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='FCVC', value=0.0), Rule(attribute='Gender', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='NCP', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='SCC', value=0.0), Rule(attribute='TUE', value=1.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='FAF', value=0.0)]",1.0,0.004975124378109453
4,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='FCVC', value=0.0), Rule(attribute='Gender', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=0.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='NCP', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=2.0), Rule(attribute='SCC', value=0.0), Rule(attribute='TUE', value=0.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='FAF', value=1.0)]",1.0,0.005
5,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='NCP', value=1.0), Rule(attribute='Gender', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=0.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=1.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=2.0), Rule(attribute='SCC', value=0.0), Rule(attribute='TUE', value=0.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='FAF', value=1.0)]",1.0,0.005025125628140704
6,"[Rule(attribute='CAEC', value=3.0), Rule(attribute='MTRANS', value=0.0), Rule(attribute='Gender', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=1.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=0.0), Rule(attribute='FAVC', value=0.0), Rule(attribute='FCVC', value=2.0), Rule(attribute='NCP', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='FAF', value=2.0), Rule(attribute='TUE', value=1.0), Rule(attribute='CALC', value=2.0), Rule(attribute='SCC', value=0.0)]",1.0,0.0051813471502590676
7,"[Rule(attribute='MTRANS', value=2.0), Rule(attribute='Gender', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='Weight', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=2.0), Rule(attribute='NCP', value=2.0), Rule(attribute='CAEC', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=1.0), Rule(attribute='FAF', value=1.0), Rule(attribute='TUE', value=0.0), Rule(attribute='CALC', value=2.0), Rule(attribute='SCC', value=0.0)]",1.0,0.005208333333333333
8,"[Rule(attribute='Weight', value=2.0), Rule(attribute='Gender', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=2.0), Rule(attribute='NCP', value=2.0), Rule(attribute='CAEC', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=0.0), Rule(attribute='SCC', value=0.0), Rule(attribute='TUE', value=0.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='FAF', value=0.0)]",1.0,0.004424778761061947
9,"[Rule(attribute='Weight', value=2.0), Rule(attribute='Gender', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Height', value=0.0), Rule(attribute='family_history_with_overweight', value=1.0), Rule(attribute='FAVC', value=1.0), Rule(attribute='FCVC', value=2.0), Rule(attribute='NCP', value=2.0), Rule(attribute='CAEC', value=2.0), Rule(attribute='SMOKE', value=0.0), Rule(attribute='CH2O', value=2.0), Rule(attribute='SCC', value=0.0), Rule(attribute='TUE', value=1.0), Rule(attribute='CALC', value=2.0), Rule(attribute='MTRANS', value=3.0), Rule(attribute='FAF', value=0.0)]",1.0,0.0044444444444444444
