,rule,precision,recall
0,"[Rule(attribute='Fare', value=2.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Age', value=1.0)]",1.0,0.005797101449275362
1,"[Rule(attribute='SibSp', value=4.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Age', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=1.0), Rule(attribute='Parch', value=1.0)]",1.0,0.005253940455341506
2,"[Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=4.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Age', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.00528169014084507
3,"[Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=4.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007079646017699115
4,"[Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=5.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Age', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.0053475935828877
5,"[Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=6.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007168458781362007
6,"[Rule(attribute='Parch', value=1.0), Rule(attribute='SibSp', value=3.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007220216606498195
7,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Parch', value=1.0)]",1.0,0.0058309037900874635
8,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0)]",1.0,0.011730205278592375
9,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Embarked', value=0.0)]",1.0,0.005934718100890208
10,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.008955223880597015
11,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Fare', value=1.0)]",1.0,0.006024096385542169
12,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.006060606060606061
13,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Age', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=0.0)]",1.0,0.006097560975609756
14,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='SibSp', value=3.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=2.0)]",1.0,0.006134969325153374
15,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Fare', value=1.0)]",1.0,0.009259259259259259
16,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0)]",1.0,0.006230529595015576
17,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=1.0)]",1.0,0.006269592476489028
